ESTACIONES:[2	4	5	7	9	13	14	15	16	17	21	22	23	24	25	28	32	33	36	37	38	39	42	44	45	46	49	50	51	53	57	60	62	66	67	68	72	73	75	77	78	79	166	167	168	169	170	171	172	173	175	177	178	181	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	258	261	284	285	286	287	288	289	290	291	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	325	326	327	328	329	330	331	332	333	334	335	345	346	347	348	349	350	351	352	353	354	355	361	362	363	364	365	366	367	368	369	370	371	379	380	381	382	383	384	385	386	387	388	389	390	391	392	393	394	395	396	413	414	415	416	417	418	419	420	421	422	423	424	433	434	435	436	437	438	439	447	449	451	452]
CANDIDATAS:[2	4	5	7	9	13	14	15	16	17	21	22	23	24	25	28	32	33	36	37	38	39	42	44	45	46	49	50	51	53	57	60	62	66	67	68	72	73	75	77	78	79	166	167	168	169	170	171	172	173	175	177	178	181	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	258	261	284	285	286	287	288	289	290	291	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	325	326	327	328	329	330	331	332	333	334	335	345	346	347	348	349	350	351	352	353	354	355	361	362	363	364	365	366	367	368	369	370	371	379	380	381	382	383	384	385	386	387	388	389	390	391	392	393	394	395	396	413	414	415	416	417	418	419	420	421	422	423	424	433	434	435	436	437	438	439	447	449	451	452]
PRIORIDADES:[1	2	3	4]																																																																																																																																																																																																																												
r_mas:[3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	9	0	0	4	0	11	0	1	0	0	3	3	6	6	14	3	10	10	8	0	7	8	5	8	10	2	0	8	0	0	7	4	3	7	10	7	9	16	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	6	7	10	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	13	5	0	0	0	0	1	7	0	0	0	0	0	0	7	0	0	11	0	0	7	9	8	6	3	0	2	0	0	0	0	0	0	0	6	6	2	4	9	7	3	0	0	0	0	0	11	10	8	12	4	9	0	0	0	0	3	3	3	6	4	8	1	2	0	0	7	0	7	0	2	6	1	0	0	0	3	6	0	4	3	9	10	10	0	2	0	12	12	0	0	11	0	2	0	2	0	2	7	0	0	0	0	3	2	0	2	4	0	0	0	7	0	3	0	0	3]
r_menos:[0	7	6	3	11	8	12	0	5	8	0	0	0	0	0	5	7	13	1	1	15	7	0	0	0	12	0	0	11	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	5	0	7	11	4	5	9	0	0	3	0	10	0	10	0	0	0	0	5	10	0	17	0	0	9	0	14	0	5	6	10	0	6	10	3	13	11	2	0	8	0	0	0	4	10	0	10	0	0	3	2	7	8	6	12	0	8	3	0	4	0	0	0	0	0	0	13	0	6	14	12	12	14	12	6	0	0	0	0	0	0	0	9	6	2	16	0	0	0	0	0	0	0	8	13	0	8	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	6	13	4	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	11	4	0	0	1	0	0	3	13	7	0	3	0	5	16	0]
cl:	7																																																																																																																																																																																																																																
balance:	0.15																																																																																																																																																																																																																																
prioridad:	5																																																																																																																																																																																																																																
dmax:	2500	
restrc_allprior:0
